month,interest,scheduled_principal,prepayment,recovery,loss,total_cf,avg_survival,cumulative_cf,principal_return
57,5335864.152736881,2273922.2597095883,3.6880641340159293,0.10721269634344603,0.03573756544781537,7609790.207723293,0.5501781512676015,1513320361.4185252,2273926.0549864187
58,5327282.571565246,2282503.82114427,8.366240952135136,0.26268844175159645,0.08756281391719878,7609795.021638902,0.5501781472553391,1520930156.440164,2282512.4500736636
59,5318665.664328253,2291120.6823311644,5.136411835813393,0.13546972255846473,0.045156574186154916,7609791.618540984,0.5501781446597951,1528539948.058705,2291125.954212723
60,5310013.301788665,2299773.0171496044,1.3732569430503363,0.059252936537122596,0.019750978845707527,7609787.751448131,0.5501781438631886,1536149735.8101532,2299774.449659484
61,5301325.326916195,2308460.985238056,5.80145532291944,0.15295197150398482,0.05098399050132826,7609792.266561548,0.5501781409082177,1543759528.0767148,2308466.939645351
62,5292601.552448935,2317184.728329303,8.033035493119833,0.23378024441740583,0.07792674813913532,7609794.547593954,0.5501781369473673,1551369322.6243088,2317192.9951450406
63,5283841.826100601,2325944.4108494017,7.405487366664138,0.28857256215938726,0.09619085405312901,7609793.931009913,0.5501781334335494,1558979116.5553188,2325952.10490933
64,5275045.996308877,2334740.1995931133,5.8153446368971915,0.28023658202125057,0.09341219400708356,7609792.291483189,0.5501781307060364,1566588908.846802,2334746.295174332
65,5266213.905331806,2343572.2575337994,4.081678446817463,0.2104673567402359,0.0701557855800787,7609790.455011359,0.5501781286932496,1574198699.3018134,2343576.549679603
66,5257345.392135728,2352440.7472152007,1.739609585414193,0.07920029504376151,0.026400098347920495,7609787.958160801,0.5501781278555222,1581808487.2599742,2352442.5660250816
67,5248440.296392776,2361345.8327592905,1.4063215182674753,0.06901143904754774,0.023003813015849254,7609787.604485034,0.5501781271027893,1589418274.8644593,2361347.3080922477
68,5239498.447098836,2370287.6739167357,0.5449229249452848,0.031529621834532645,0.010509873944844214,7609786.697468101,0.5501781267970585,1597028061.5619273,2370288.2503692824
69,5230519.681437463,2379266.436081808,25.688643766875497,1.4027182065444437,0.4675727355148146,7609813.208881235,0.5501781144588151,1604637874.7708085,2379293.5274437815
70,5221503.735379107,2388282.2298905924,25.209058236833783,1.2962456683102572,0.43208188943675174,7609812.470573579,0.5501781020280994,1612247687.2413821,2388308.7351944973
71,5212450.541011976,2397335.274946499,10.956915815161087,0.6200950245030882,0.2066983415010297,7609797.392969338,0.5501780966576022,1619857484.6343515,2397346.851957339
72,5203359.982726698,2406425.767073899,0.0,0.0,0.0,7609785.749800567,0.5501780966576022,1627467270.3841522,2406425.767073899
73,5194231.88240773,2415553.8673928617,25.223729108778155,1.3701738713250629,0.45672462377501905,7609812.343703566,0.5501780841907032,1635077082.7278557,2415580.461295842
74,5185065.930128667,2424719.6674974384,4.233296120679961,0.12208338863212304,0.04069446287737432,7609789.95300563,0.5501780819793178,1642686872.6808612,2424724.0228769477
75,5175862.140125388,2433923.434751899,7.661003179326341,0.2321503197896392,0.07738343992987962,7609793.4680307675,0.5501780780911405,1650296666.148892,2433931.3279053983
76,5166620.245116789,2443165.2869113516,7.289168306316288,0.2693879863848516,0.08979599546161712,7609793.090584446,0.5501780744868542,1657906459.2394764,2443172.8454676443
77,5157340.086986343,2452445.403387877,5.596478490833517,0.2738061267694115,0.09126870892313725,7609791.360658816,0.5501780718268071,1665516250.6001353,2452451.2736724946
78,5148021.498421544,2461763.9591361033,4.390034596903881,0.21910962249963226,0.07303654083321078,7609790.066701865,0.5501780696582246,1673126040.6668372,2461768.5682803225
79,5138664.306522791,2471121.125427471,2.2297779102484596,0.11323980465726749,0.03774660155242257,7609787.774967989,0.55017806857152,1680735828.4418051,2471123.468445186
80,5129268.340653511,2480517.0776451793,0.3887859327868389,0.01709619420487019,0.005698731401623395,7609785.824180801,0.5501780683920119,1688345614.265986,2480517.483527306
81,5119833.42622091,2489951.989539285,5.441481526869378,0.3190120678475352,0.1063373559491784,7609791.17625373,0.5501780656403475,1695955405.4422398,2489957.75003288
82,5110359.36089751,2499426.0209390637,25.50391018560678,1.3468739888184438,0.4489579962728159,7609812.232620723,0.5501780528044761,1703565217.6748605,2499452.8717232384
83,5100845.914735998,2508939.3133944036,25.16339226464166,1.2647665592364508,0.4215888530788171,7609811.656289177,0.5501780402468675,1711175029.3311496,2508965.7415532274
84,5091292.987160961,2518492.0891689714,2.060351337853441,0.06028947644526517,0.020096492148421723,7609787.196970721,0.5501780392559302,1718784816.5281203,2518494.2098097857
85,5081700.486916151,2528084.577491314,1.200906730029593,0.040181550404365746,0.013393850134788582,7609786.305495732,0.5501780386336562,1726394602.833616,2528085.8185795946
86,5072068.150701645,2537716.9069925454,24.163491500620626,1.3079445848501443,0.43598152828337966,7609810.529130276,0.5501780264024227,1734004413.3627462,2537742.3784286305
87,5062395.706987404,2547389.2027096143,3.620380680015194,0.10114260332439617,0.03371420110813205,7609788.631220275,0.5501780243583506,1741614201.9939666,2547392.924232898
88,5052683.146189458,2557101.743540884,7.167589016212315,0.21085231380892971,0.07028410460297652,7609792.268171664,0.550178020640361,1749223994.2621381,2557109.121982214
89,5042930.193064185,2566854.655545661,6.972008235175027,0.28415922579265684,0.09471974193088577,7609792.104777263,0.5501780170909027,1756833786.3669155,2566861.9117131224
90,5033136.678578301,2576648.1293336856,5.686150922227478,0.2551477929061873,0.08504926430206247,7609790.749210644,0.5501780142693077,1764443577.116126,2576654.070632401
91,5023302.423625918,2586482.3505236967,4.231972359023823,0.2509843153860823,0.08366143846202752,7609789.257106257,0.5501780121494656,1772053366.3732324,2586486.833480371
92,5013427.245103953,2596357.502922102,2.3120354726488332,0.13278271848999995,0.04426090616333329,7609787.192844249,0.5501780109635562,1779663153.5660765,2596359.947740293
93,5003510.961139745,2606273.7725721104,0.42242781906301835,0.022006156935581625,0.007335385645193873,7609785.1781458175,0.5501780107358344,1787272938.7442224,2606274.2170060864
94,4993553.386255318,2616231.344690352,30.600827044533673,1.6048948663388625,0.5349649554462858,7609816.936667632,0.5501779950715507,1794882755.68089,2616263.550412263
95,4983554.2108566575,2626230.3286912097,0.0,1.6671516515054342e-33,5.557172171684781e-34,7609784.539547848,0.5501779950715507,1802492540.220438,2626230.3286912097
96,4973513.4821142005,2636271.0574336555,33.36837387470165,1.7432339590310806,0.5810779863436912,7609819.651155672,0.5501779777474303,1810102359.8715937,2636306.1690414893
97,4963430.766482113,2646353.563688642,2.3894598371278812,0.06585299399366072,0.0219509979978869,7609786.785483597,0.5501779765660813,1817712146.6570773,2646356.019001473
98,4953306.121355221,2656478.194747886,6.990159354109196,0.2283077043424147,0.07610256811413808,7609791.534570135,0.5501779728043457,1825321938.1916475,2656485.413214945
99,4943139.222090335,2666645.0530184554,3.7001362518453207,0.08806626412791228,0.029355421375970733,7609788.063311274,0.5501779707263952,1832931726.2549589,2666648.841220971
