Metric,Prepay (k=1),Default (k=2),Combined,Model,Experiment,Fold
ØC,0.9662071269443747,0.9188678719484344,0.9425374994464046,RSF,Exp 4.2,1
C(24),0.915890972503529,0.7763679647276748,0.8461294686156019,CSC,Exp 4.2,2
C(48),0.9513670734269767,0.8375506780371872,0.8944588757320819,CSC,Exp 4.2,2
C(72),0.9590967077728788,0.8669096756901635,0.9130031917315211,CSC,Exp 4.2,2
ØC,0.9421182512344615,0.8269427728183419,0.8845305120264018,CSC,Exp 4.2,2
C(24),0.6768336444027926,0.7734591248124749,0.7251463846076338,FGR,Exp 4.2,2
C(48),0.7095712920459104,0.7932121003559561,0.7513916962009333,FGR,Exp 4.2,2
C(72),0.7269638349882749,0.8020477083891718,0.7645057716887234,FGR,Exp 4.2,2
ØC,0.7044562571456593,0.7895729778525342,0.7470146174990968,FGR,Exp 4.2,2
C(24),0.9381867822981471,0.9305488058261316,0.9343677940621393,RSF,Exp 4.2,2
C(48),0.9760970702308019,0.924609362397703,0.9503532163142525,RSF,Exp 4.2,2
C(72),0.9832859604753699,0.9207638702760654,0.9520249153757177,RSF,Exp 4.2,2
ØC,0.9658566043347729,0.9253073461666333,0.9455819752507031,RSF,Exp 4.2,2
C(24),0.9531215611359497,0.4315125490979296,0.6923170551169396,CSC,Exp 4.3,0
C(48),0.9608621440440873,0.4711776004293011,0.7160198722366942,CSC,Exp 4.3,0
C(72),0.9683657822813763,0.5090716988549806,0.7387187405681784,CSC,Exp 4.3,0
ØC,0.9607831624871377,0.47058728279407047,0.7156852226406041,CSC,Exp 4.3,0
C(24),0.7555703752519626,0.9790792889954064,0.8673248321236845,FGR,Exp 4.3,0
C(48),0.794167587822969,0.985753223848462,0.8899604058357156,FGR,Exp 4.3,0
C(72),0.8385328845651479,0.9878814683768244,0.9132071764709861,FGR,Exp 4.3,0
ØC,0.7960902825466931,0.9842379937402309,0.890164138143462,FGR,Exp 4.3,0
C(24),0.8803188803105413,0.9983661762421498,0.9393425282763456,RSF,Exp 4.3,0
C(48),0.9552674120386755,0.999234325764938,0.9772508689018067,RSF,Exp 4.3,0
C(72),0.9793831446919274,0.9993562337215588,0.9893696892067432,RSF,Exp 4.3,0
ØC,0.9383231456803814,0.9989855785762155,0.9686543621282985,RSF,Exp 4.3,0
C(24),0.9527802808868664,0.5323566235168445,0.7425684522018554,CSC,Exp 4.3,1
C(48),0.9631065673013133,0.5736686987766967,0.7683876330390049,CSC,Exp 4.3,1
C(72),0.9682600127822752,0.5973635258295489,0.782811769305912,CSC,Exp 4.3,1
ØC,0.9613822869901516,0.5677962827076967,0.7645892848489242,CSC,Exp 4.3,1
C(24),0.7487273299829196,0.9629455209565707,0.8558364254697451,FGR,Exp 4.3,1
C(48),0.7904990850705034,0.981654487464169,0.8860767862673362,FGR,Exp 4.3,1
C(72),0.830299223172439,0.9853055795151049,0.907802401343772,FGR,Exp 4.3,1
ØC,0.7898418794086206,0.9766351959786149,0.8832385376936178,FGR,Exp 4.3,1
C(24),0.8817035288228274,0.9974270913497433,0.9395653100862853,RSF,Exp 4.3,1
C(48),0.960543568724537,0.9987282490209536,0.9796359088727453,RSF,Exp 4.3,1
C(72),0.9793774537403372,0.9993401020503601,0.9893587778953487,RSF,Exp 4.3,1
ØC,0.9405415170959005,0.9984984808070191,0.9695199989514598,RSF,Exp 4.3,1
C(24),0.9536444217956177,0.48199406962903485,0.7178192457123262,CSC,Exp 4.3,2
C(48),0.9626300731701142,0.5354504296207079,0.7490402513954111,CSC,Exp 4.3,2
C(72),0.9683942217547106,0.515046904315197,0.7417205630349537,CSC,Exp 4.3,2
ØC,0.9615562389068142,0.5108304678549799,0.7361933533808971,CSC,Exp 4.3,2
C(24),0.7479355555717433,0.9949183341433009,0.871426944857522,FGR,Exp 4.3,2
C(48),0.7938600695772127,0.9958346327701842,0.8948473511736985,FGR,Exp 4.3,2
C(72),0.8350577053632043,0.99595818815331,0.9155079467582572,FGR,Exp 4.3,2
ØC,0.7922844435040535,0.995570385022265,0.8939274142631592,FGR,Exp 4.3,2
C(24),0.8765526683931998,0.9990104309731583,0.9377815496831791,RSF,Exp 4.3,2
C(48),0.9574654845941273,0.9995411643671115,0.9785033244806194,RSF,Exp 4.3,2
C(72),0.9788710587895924,0.9996194049852587,0.9892452318874255,RSF,Exp 4.3,2
ØC,0.9376297372589733,0.9993903334418429,0.9685100353504081,RSF,Exp 4.3,2
