GP_var,GP_range,variant,test_year,cause,GP_range_time,GP_range_space
12.133768953356695,4439.845372120049,linear_spatial,2019,default,,
0.09947603883161862,,linear_spatio_temporal,2019,prepay,0.9292539924984119,1.761513393860462
2.1542376427857626,,linear_spatio_temporal,2019,default,54.868061681930584,183.83275690434436
0.037578335252407974,2.1063562116239214,lagaboost_spatial,2019,prepay,,
0.34646650383677147,0.7171340032593448,lagaboost_spatial,2019,default,,
0.11022513676140548,,lagaboost_spatio_temporal,2019,prepay,1.0473955529212982,5.348736315528706
1.4257006002783363,,lagaboost_spatio_temporal,2019,default,0.442687659544705,0.10693533096042085
0.4688067501745665,9.206362355222046,linear_spatial,2020,prepay,,
9.16828085528971,847.372313840294,linear_spatial,2020,default,,
0.11680770845335317,,linear_spatio_temporal,2020,prepay,1.005753522683074,4.1747226030209355
10.281330577170323,,linear_spatio_temporal,2020,default,98.45197313614544,2628.4653260997497
0.03229957977846202,1.9092656234532202,lagaboost_spatial,2020,prepay,,
0.290964305406942,0.5097271133703073,lagaboost_spatial,2020,default,,
0.1160928141270667,,lagaboost_spatio_temporal,2020,prepay,1.0777454122472896,7.669649732106316
1.3105217598003114,,lagaboost_spatio_temporal,2020,default,0.0791854021934303,0.09632417042999167
0.49278349394289006,8.889534387340207,linear_spatial,2021,prepay,,
2.7658341113603226,38.852983881051465,linear_spatial,2021,default,,
0.16064208771675972,,linear_spatio_temporal,2021,prepay,1.165858450208071,6.1792970560328735
4.859062771935622,,linear_spatio_temporal,2021,default,3.089891888480392,75.38497613258437
0.03474082963534746,2.0359361736326376,lagaboost_spatial,2021,prepay,,
0.08882414493051585,3.613351598857944,lagaboost_spatial,2021,default,,
0.26624887533263847,,lagaboost_spatio_temporal,2021,prepay,1.7387159406588173,12.440794087128657
0.9424261973505811,,lagaboost_spatio_temporal,2021,default,0.18826235441591851,27.80492461596736
0.5261857463286693,8.427379576467036,linear_spatial,2022,prepay,,
2.785776055739646,77.53335089514921,linear_spatial,2022,default,,
0.17501959775782777,,linear_spatio_temporal,2022,prepay,1.1130053003220017,5.711287568543998
5.464988068180938,,linear_spatio_temporal,2022,default,1.8126916302058689,95.42977957383373
0.04572404151119906,2.695252996813925,lagaboost_spatial,2022,prepay,,
0.06845831485989855,2.8409624832349727,lagaboost_spatial,2022,default,,
0.24546412292563685,,lagaboost_spatio_temporal,2022,prepay,1.7552841922602178,10.16429891064822
0.7654104092769699,,lagaboost_spatio_temporal,2022,default,0.3339168306643633,28.26125081657034
0.5296019612822438,8.606975505169665,linear_spatial,2023,prepay,,
1.5338662280652677,1337.780795665449,linear_spatial,2023,default,,
0.2150582327596354,,linear_spatio_temporal,2023,prepay,1.520009769376084,8.142419168298948
5.091006536370743,,linear_spatio_temporal,2023,default,1.7584566208406085,117.68689237067107
0.03308014310490521,2.1767871606082734,lagaboost_spatial,2023,prepay,,
0.048551347550342155,2.741072361607547,lagaboost_spatial,2023,default,,
0.22730525073042268,,lagaboost_spatio_temporal,2023,prepay,1.3699911765312098,11.561877329183844
0.7058098408522386,,lagaboost_spatio_temporal,2023,default,0.33686662828640535,29.505332786634202
0.5212768109050333,8.911278931259965,linear_spatial,2024,prepay,,
2.7902484123080704,100.06829156762248,linear_spatial,2024,default,,
0.21718373509195507,,linear_spatio_temporal,2024,prepay,1.5278876890031838,8.75456606228403
5.3337664892605,,linear_spatio_temporal,2024,default,1.6716607033700421,86.13151982513084
0.030069970210604927,2.2811835567067726,lagaboost_spatial,2024,prepay,,
0.049406876619674175,2.175569571256353,lagaboost_spatial,2024,default,,
0.3208755627256449,,lagaboost_spatio_temporal,2024,prepay,1.7844710734404468,14.632268018501563
0.6563868326667545,,lagaboost_spatio_temporal,2024,default,0.3551043522577497,31.029963841390945
