variant,test_year,cause,fit_seconds,AUC,log_loss,Brier,ECE,n_events
linear_spatial,2022,default,20.171291828155518,0.7785098787979412,0.010070033900326812,0.0012567381845041523,0.0033296892572741,38
linear_spatio_temporal,2022,prepay,318.3572189807892,0.6601661879263314,0.32667797180755037,0.09021361332821906,0.057036335783111625,3499
linear_spatio_temporal,2022,default,318.3572189807892,0.826645359455421,0.012812823481230012,0.0013036663884482445,0.006937596478688092,38
lagaboost_spatial,2022,prepay,196.79560613632202,0.6909708490872035,0.31349525550450746,0.08621703827220728,0.059277033583881734,3499
lagaboost_spatial,2022,default,196.79560613632202,0.7271031877801759,0.008992018047779984,0.001185682949852969,0.0018538909581910493,38
lagaboost_spatio_temporal,2022,prepay,7716.95377779007,0.6739205338306682,0.33941679127313096,0.09300054471345592,0.10383901221495914,3499
lagaboost_spatio_temporal,2022,default,7716.95377779007,0.8801710111240245,0.00859115769242877,0.0011862691856866143,0.001762962566708315,38
linear_independent,2023,prepay,1.4564080238342285,0.625585865405011,0.22797662129178742,0.05562187766056883,0.026644444561139173,2166
linear_independent,2023,default,1.4564080238342285,0.7514576714528507,0.010373558869518712,0.0014493838552470972,0.0018830023826874032,51
linear_spatial,2023,prepay,19.924798011779785,0.6306489883022204,0.22211683967400203,0.05497287871253279,0.01981018870601041,2166
linear_spatial,2023,default,19.924798011779785,0.7427891992264437,0.009973479564203785,0.001419611635527081,0.0012301690505620107,51
linear_spatio_temporal,2023,prepay,336.7758138179779,0.6257558206454715,0.23097626864220355,0.05641082244870819,0.023071376850204547,2166
linear_spatio_temporal,2023,default,336.7758138179779,0.8987949172042614,0.00981877623376344,0.0014034410611141574,0.002297017904862425,51
lagaboost_spatial,2023,prepay,271.1371850967407,0.6496606584595536,0.21456521586097024,0.05093002666680688,0.0461620947014865,2166
lagaboost_spatial,2023,default,271.1371850967407,0.7732125460735771,0.009686918785883696,0.001407571599248405,0.0019458493776927208,51
lagaboost_spatio_temporal,2023,prepay,5981.849911928177,0.6562813153154499,0.2187040775130321,0.051787064605325416,0.052319801358332176,2166
lagaboost_spatio_temporal,2023,default,5981.849911928177,0.8332225782009349,0.009539390489285217,0.0014182729628957967,0.0017809371693988942,51
linear_independent,2024,prepay,1.6031439304351807,0.6366154775451102,0.2431551302444137,0.061545907225259995,0.01784240313615142,2748
linear_independent,2024,default,1.6031439304351807,0.8020965839820462,0.01195964714271175,0.0018129686517293054,0.000799752663010276,73
linear_spatial,2024,prepay,19.915508031845093,0.6436460878791712,0.241316469664583,0.06103810303701569,0.020031580470803237,2748
linear_spatial,2024,default,19.915508031845093,0.7772262721567451,0.012405439830741435,0.0018224616053477735,0.0010401843794564198,73
linear_spatio_temporal,2024,prepay,326.9969263076782,0.6413911575397764,0.24264163538480155,0.06245769147698293,0.02208580982862427,2748
linear_spatio_temporal,2024,default,326.9969263076782,0.8229002813789389,0.01647422098019565,0.0019390457355816892,0.007927261423463138,73
lagaboost_spatial,2024,prepay,303.72319316864014,0.6727599985820361,0.22197224684879963,0.05548063454646869,0.02225648661956942,2748
lagaboost_spatial,2024,default,303.72319316864014,0.7267908750915916,0.011602672677000913,0.0017675986849351986,0.0014859094508741471,73
lagaboost_spatio_temporal,2024,prepay,8833.492779016495,0.6656979496727689,0.2197831903236766,0.054993220354593635,0.010162490042365056,2748
lagaboost_spatio_temporal,2024,default,8833.492779016495,0.7644228605702261,0.011442634379150133,0.0017744944300101112,0.0013986357687585254,73
